file,noise,fitness,precision,End-to-End,Total Forced Volume,AS-Resolved Volume,AS-Opaque Volume,Data Exposure,Data Exposure ST-only,Data Exposure ST+ST-in-PAR,Data Coverage ST-only,Data Coverage ST+ST-in-PAR,Data Coverage Total,SEQ share,XOR share,PAR share,LOOP share,AS-Resolved PAR-only
pdc2021_001110.xes,0.4,0.9097825969271455,0.546038967461181,0.00,0.00,0.00,0.00,92.36,91.95,93.20,34.47,62.69,95.52,0.3698630136986301,0.3424657534246575,0.0821917808219178,0.2054794520547945,0.00
pdc2021_001110.xes,0.6,0.8368240578991507,0.7285012285012284,0.00,0.00,0.00,0.00,92.76,88.62,91.15,31.49,60.36,98.39,0.35526315789473684,0.32894736842105265,0.07894736842105263,0.23684210526315788,0.00
pdc2021_001110.xes,0.8,0.8046251095677678,0.4773434797647873,0.00,0.00,0.00,0.00,87.70,98.56,99.55,14.62,93.25,100.00,0.3,0.24285714285714285,0.14285714285714285,0.3142857142857143,0.00
pdc2021_001110.xes,1.0,0.7909345051731147,0.23465389638659118,0.00,0.00,0.00,0.00,99.06,98.57,98.57,58.62,58.62,100.00,0.3333333333333333,0.4444444444444444,0.0,0.2222222222222222,0.00
pdc2021_010001.xes,0.0,1.0,0.09390603425756616,0.00,81.60,0.00,81.60,88.61,100.00,99.17,4.54,60.21,100.00,0.2627118644067797,0.5084745762711864,0.0847457627118644,0.1440677966101695,0.00
pdc2021_010001.xes,0.2,0.9817386485034117,0.1588723122301543,0.00,0.00,0.00,0.00,93.88,96.61,99.30,5.89,37.94,99.68,0.26851851851851855,0.39814814814814814,0.10185185185185185,0.23148148148148148,0.00
pdc2021_010001.xes,0.4,0.9279850563925814,0.37922966162706984,0.00,0.00,0.00,0.00,94.98,96.61,99.33,5.89,38.16,99.56,0.2857142857142857,0.3619047619047619,0.09523809523809523,0.2571428571428571,0.00
pdc2021_010001.xes,0.6,0.8759916001050374,0.5289072426937738,0.00,0.00,0.00,0.00,96.40,83.40,85.71,12.00,25.58,94.94,0.367816091954023,0.39080459770114945,0.034482758620689655,0.20689655172413793,0.00
pdc2021_010001.xes,0.8,0.8031294382817079,0.471704078406576,0.00,0.00,0.00,0.00,95.47,93.44,94.05,15.85,54.27,97.87,0.33695652173913043,0.2717391304347826,0.08695652173913043,0.30434782608695654,0.00
pdc2021_010001.xes,1.0,0.8579283047618315,0.16518547140649154,0.00,0.00,0.00,0.00,100.00,100.00,100.00,32.32,32.32,100.00,0.16666666666666666,0.5,0.0,0.3333333333333333,0.00
pdc2021_011001.xes,0.0,1.0,0.0707573398576512,0.00,100.00,0.00,100.00,85.09,100.00,98.98,4.47,61.79,100.00,0.2711864406779661,0.5,0.07627118644067797,0.15254237288135594,0.00
pdc2021_011001.xes,0.2,0.9827980188003713,0.1653498732432499,0.00,0.00,0.00,0.00,94.79,98.08,99.64,5.79,41.00,100.00,0.26851851851851855,0.4074074074074074,0.09259259259259259,0.23148148148148148,0.00
pdc2021_011001.xes,0.4,0.946350978143758,0.4769789983844911,0.00,0.00,0.00,0.00,93.88,87.11,93.48,12.11,42.54,98.87,0.2830188679245283,0.3867924528301887,0.08490566037735849,0.24528301886792453,0.00
pdc2021_011001.xes,0.6,0.8920425726965447,0.5907007203667322,0.00,0.00,0.00,0.00,90.98,80.30,85.25,17.16,28.98,94.42,0.3493975903614458,0.39759036144578314,0.03614457831325301,0.21686746987951808,0.00
pdc2021_011001.xes,0.8,0.8210636176745117,0.3982436044291714,0.00,78.40,0.00,78.40,88.10,100.00,100.00,4.54,45.50,100.00,0.2903225806451613,0.26881720430107525,0.12903225806451613,0.3118279569892473,0.00
pdc2021_011001.xes,1.0,0.7763082800494724,0.05899632802937571,0.00,0.00,0.00,0.00,100.00,100.00,100.00,32.89,32.89,99.94,0.18181818181818182,0.5454545454545454,0.0,0.2727272727272727,0.00
pdc2021_011011.xes,0.0,1.0,0.09208171947197086,0.00,76.80,0.00,76.80,90.85,100.00,97.95,4.29,51.88,100.00,0.27522935779816515,0.48623853211009177,0.07339449541284404,0.1651376146788991,0.00
pdc2021_011011.xes,0.2,0.9817348973224989,0.17291317953569607,0.00,0.00,0.00,0.00,94.96,96.31,97.41,5.40,32.61,99.76,0.31683168316831684,0.4158415841584158,0.0594059405940594,0.2079207920792079,0.00
pdc2021_011011.xes,0.4,0.9363423696169891,0.4581491712707182,0.00,0.00,0.00,0.00,96.44,91.67,94.61,10.03,38.68,99.14,0.30097087378640774,0.3786407766990291,0.05825242718446602,0.2621359223300971,0.00
pdc2021_011011.xes,0.6,0.9143600235535015,0.44841182913472066,0.00,0.00,0.00,0.00,95.48,90.49,93.11,9.47,26.31,98.67,0.35714285714285715,0.39285714285714285,0.047619047619047616,0.20238095238095238,0.00
pdc2021_011011.xes,0.8,0.7560918478990036,0.5488474204171241,0.00,0.00,0.00,0.00,94.44,88.03,93.43,9.64,30.29,99.19,0.3181818181818182,0.32954545454545453,0.09090909090909091,0.26136363636363635,0.00
pdc2021_011011.xes,1.0,0.8537743341877415,0.15557176728068578,0.00,0.00,0.00,0.00,100.00,100.00,100.00,32.45,32.45,100.00,0.16666666666666666,0.5,0.0,0.3333333333333333,0.00
pdc2021_011100.xes,0.0,1.0,0.11101140508307761,0.00,2.80,0.00,2.80,94.61,100.00,100.00,9.09,30.85,100.00,0.2558139534883721,0.47674418604651164,0.10465116279069768,0.16279069767441862,0.00
pdc2021_011100.xes,0.2,0.9685126229310125,0.20483328234934228,0.00,0.00,0.00,0.00,93.67,98.03,98.59,11.16,60.10,99.35,0.26881720430107525,0.3548387096774194,0.11827956989247312,0.25806451612903225,0.00
pdc2021_011100.xes,0.4,0.9243085024758301,0.5111930471424809,0.00,0.00,0.00,0.00,96.92,92.01,94.49,23.33,54.39,98.22,0.32941176470588235,0.3764705882352941,0.07058823529411765,0.2235294117647059,0.00
pdc2021_011100.xes,0.6,0.8517819825195596,0.8783165599268069,16.80,16.80,0.00,0.00,96.53,94.86,97.23,10.28,44.01,99.70,0.3132530120481928,0.3614457831325301,0.08433734939759036,0.24096385542168675,0.00
pdc2021_011100.xes,0.8,0.8736936079777072,0.8009295120061968,0.00,0.00,0.00,0.00,95.09,88.64,92.23,22.28,54.33,95.62,0.33783783783783783,0.33783783783783783,0.06756756756756757,0.25675675675675674,0.00
pdc2021_011100.xes,1.0,0.7879077152325076,0.20514243433222346,0.00,0.00,0.00,0.00,98.77,97.48,97.48,39.74,39.74,100.00,0.3,0.45,0.0,0.25,0.00
pdc2021_011101.xes,0.0,1.0,0.1236663634108014,0.00,30.00,0.00,30.00,94.96,100.00,99.75,7.29,23.98,100.00,0.25925925925925924,0.48148148148148145,0.07407407407407407,0.18518518518518517,0.00
